Time,#1出口氮氧化物,UNIT3:A18M010F,入口氮氧化物,#1SCR反应器加氨流量,有功功率,#3机净烟气NOx,E磨煤机6kV电动机接触器电流,B磨煤机6kV电动机接触器电流,C磨煤机6kV电动机接触器电流,F磨煤机6kV电动机接触器电流
56,21.7883,21,302.413,81.5018,394.59,34.3407,39.1331,-0.0610497,48.4127,45.4823
57,21.7883,21,303.784,81.8681,394.06,34.2186,37.4237,-0.0610497,47.3138,44.5055
58,21.7883,21,306.174,83.2112,394.59,34.2186,38.0342,-0.0610497,46.7033,44.6276
59,21.7883,21,308.097,83.4554,394.59,34.2186,37.79,-0.0610497,47.3138,44.8718
60,21.7883,21,310.036,83.8217,393.53,34.2796,36.9353,-0.0610497,45.9707,44.1392
61,21.9313,21,312.973,83.8217,393,34.1575,37.5458,-0.0610497,47.558,44.5055
62,21.9313,21,316.047,83.5775,394.06,34.0354,38.1563,-0.0610497,46.5812,44.9939
63,21.8098,21,319.466,83.5775,393,34.0354,37.0574,-0.0610497,47.4359,44.7497
64,21.8098,21,320.889,83.5775,393,34.0965,37.9121,-0.0610497,47.1917,44.0171
65,21.8098,21,322.728,84.188,394.06,34.0354,37.9121,-0.0610497,47.8022,44.8718
66,21.953,21,323.14,84.6764,393.53,34.0354,37.9121,-0.0610497,47.8022,44.6276
67,21.953,21,325.019,84.9206,394.06,34.0965,38.5226,-0.0610497,47.6801,45.3602
68,21.953,21,326.447,84.6764,394.59,34.0354,37.6679,-0.0610497,48.0464,44.6276
69,21.953,21,328.535,84.9206,395.12,34.0354,38.7668,-0.0610497,47.8022,45.2381
70,21.953,21,330.673,85.6532,394.06,34.1575,38.0342,-0.0610497,48.1685,45.2381
71,21.953,21,331.006,86.0195,394.06,34.0965,37.79,-0.0610497,46.2149,44.9939
72,22.1843,21,331.006,86.3858,394.59,33.9744,38.5226,-0.0610497,47.558,44.5055
73,22.4287,21,330.451,86.63,394.59,34.0354,39.3773,-0.0610497,47.558,44.7497
74,22.4287,21,330.158,85.8974,395.65,34.1575,39.3773,-0.0610497,48.0464,44.7497
75,22.6409,21,329.171,85.409,395.65,34.1575,38.5226,-0.0610497,46.9475,45.116
76,22.5182,21,328.151,86.0195,395.65,34.1575,39.1331,-0.0610497,47.558,45.4823
77,22.6635,21,326.81,86.2637,396.179,34.0965,39.4994,-0.0610497,47.6801,44.8718
78,22.6635,21,325.437,86.5079,395.65,34.3407,39.7436,-0.0610497,47.6801,45.7265
79,22.832,21,324.752,87.6068,396.179,34.3407,40.3541,-0.0610497,47.9243,46.2149
80,22.9551,21,323.3,88.3394,396.179,34.3407,39.7436,-0.0610497,46.5812,44.7497
81,22.9551,21,322.573,88.0952,396.709,34.3407,39.9878,-0.0610497,47.4359,44.7497
82,23.1709,21,322.077,88.0952,396.179,34.3407,38.6447,-0.0610497,47.8022,45.116
83,23.1709,21,323.038,88.3394,396.709,34.4017,37.79,-0.0610497,46.9475,44.7497
84,23.4416,21,323.184,88.5836,397.239,34.5238,38.0342,-0.0610497,48.1685,45.6044
85,23.4416,21,323.464,87.851,396.709,34.5238,38.0342,-0.0610497,46.337,44.9939
86,23.589,21,324.438,87.851,398.299,34.5238,37.9121,-0.0610497,48.9011,45.116
87,23.589,21,325.091,86.7521,398.299,34.5238,39.6215,-0.0610497,48.5348,44.1392
88,23.7128,21,326.118,86.1416,398.829,34.5238,39.011,-0.0610497,48.0464,45.2381
89,23.7128,21,326.777,86.1416,399.359,34.5238,38.5226,-0.0610497,47.9243,45.4823
90,23.7128,21,329.183,87.7289,398.829,34.6459,37.5458,-0.0610497,48.2906,44.7497
91,23.7128,21,330.937,88.4615,399.359,34.6459,38.1563,-0.0610497,47.9243,45.2381
92,23.8367,21,332.632,88.7057,399.889,34.5238,39.4994,-0.0610497,47.3138,45.4823
93,23.8367,21,334,88.9499,399.359,34.707,38.1563,-0.0610497,47.6801,45.8486
94,23.8367,21,334.722,88.5836,399.359,34.707,37.5458,-0.0610497,47.6801,44.9939
95,23.8367,21,334.722,89.6825,399.889,34.707,37.3016,-0.0610497,48.0464,44.9939
96,23.8367,21,335.067,89.6825,399.359,34.768,37.3016,-0.0610497,48.0464,45.3602
97,23.9572,21,335.067,90.0488,399.359,34.768,37.5458,-0.0610497,47.9243,45.2381
98,23.9572,21,335.067,90.4151,399.889,34.8291,37.9121,-0.0610497,47.558,44.8718
99,23.9572,21,335.067,90.1709,400.419,34.768,39.1331,-0.0610497,47.3138,46.2149
100,23.9572,21,335.511,89.1941,400.949,34.8291,38.1563,-0.0610497,47.1917,45.116
101,24.079,21,335.856,88.2173,400.419,34.8901,39.011,-0.0610497,47.3138,45.3602
102,24.079,21,335.856,87.2405,400.419,35.0122,38.1563,-0.0610497,50,44.0171
103,24.079,21,335.445,88.2173,400.949,35.0122,40.4762,-0.0610497,48.779,45.3602
104,24.2269,21,335.726,89.9268,401.479,35.0733,40.9646,-0.0610497,47.3138,44.9939
105,24.1257,21,336.422,90.9035,401.479,35.0733,37.79,-0.0610497,48.0464,44.8718
106,24.1257,21,336.771,90.9035,402.009,35.3175,39.2552,-0.0610497,49.2674,46.2149
107,24.1257,21,336.771,90.9035,400.949,35.3785,39.8657,-0.0610497,48.4127,46.2149
108,24.2499,21,337.12,90.1709,400.949,35.3175,39.4994,-0.0610497,48.4127,45.116
109,24.4016,21,338.938,89.9268,400.419,35.4396,38.2784,-0.0610497,48.6569,45.6044
110,24.2732,21,339.703,88.7057,400.949,35.5006,39.3773,-0.0610497,49.3895,45.4823
111,24.2732,21,341.205,87.4847,401.479,35.4396,39.4994,-0.0610497,48.9011,45.3602
112,24.2732,21,343.093,87.3626,402.009,35.6227,38.8889,-0.0610497,48.2906,46.2149
113,24.3741,21,344.602,88.8278,402.538,35.5617,39.9878,-0.0610497,48.5348,45.7265
114,24.2714,21,345.753,90.0488,402.009,35.6227,41.2088,-0.0610497,49.2674,45.9707
115,24.2714,21,346.52,91.0257,402.009,35.6227,39.9878,-0.0610497,48.779,44.9939
116,24.373,21,348.457,91.2698,402.538,35.6227,38.0342,-0.0610497,48.5348,44.7497
117,24.373,21,349.242,91.7582,403.598,35.6227,39.2552,-0.0610497,49.1453,45.8486
118,24.373,21,348.535,92.0024,402.009,35.6227,38.1563,-0.0610497,49.5116,45.4823
119,24.373,21,348.936,92.2466,402.538,35.6227,40.1099,-0.0610497,48.6569,46.5812
120,24.2424,21,350.46,92.2466,403.598,35.6227,38.7668,-0.0610497,48.0464,44.5055
121,24.2424,21,351.223,92.4908,403.068,35.6227,38.0342,-0.0610497,48.1685,45.6044
122,24.2424,21,351.604,92.4908,403.068,35.6227,38.0342,-0.0610497,49.5116,45.4823
123,24.2424,21,351.604,92.735,404.128,35.6227,39.3773,-0.0610497,49.6337,45.6044
124,24.2424,21,351.604,92.735,403.598,35.6227,37.79,-0.0610497,48.6569,45.116
